Title,Named-entity,Frequency
Angela Merkel,spiegel access,5
Angela Merkel,19 2017 archive,1
Angela Merkel,20170205135102,1
Angela Merkel,date 12 june 2013,1
Angela Merkel,john wiley,1
Angela Merkel,118,1
Angela Merkel,12,7
Angela Merkel,0261 3077,4
Angela Merkel,20171002220429,1
Angela Merkel,4257010,2
Angela Merkel,election date 18 september 2005,1
Angela Merkel,bbc access,2
Angela Merkel,3 2017 archive,1
Angela Merkel,20060310044057,1
Angela Merkel,4259052,1
Angela Merkel,5 2017 archive,1
Angela Merkel,20170318214116,1
Angela Merkel,september 2005,1
Angela Merkel,35 2,1
Angela Merkel,27 8,1
Angela Merkel,7 5,1
Angela Merkel,34 2,1
Angela Merkel,free democratic party germany,1
Angela Merkel,2 week,1
Angela Merkel,8 16,1
Angela Merkel,20130923013433,1
Angela Merkel,2nd,2
Angela Merkel,3rd,1
Angela Merkel,4th,1
Angela Merkel,2009 2013,2
Angela Merkel,2013 2017,3
Angela Merkel,1998 2005,1
Angela Merkel,olaf scholz,1
Angela Merkel,16 00,1
Angela Merkel,22 november 2005,1
Angela Merkel,franz,1
Angela Merkel,november,1
Angela Merkel,november 2005,4
Angela Merkel,14 november 2005,2
Angela Merkel,28 october 2009,1
Angela Merkel,cabinet2009,1
Angela Merkel,welle date,4
Angela Merkel,20100601171452,1
Angela Merkel,4434812,2
Angela Merkel,stm title german party new coalition archive date,1
Angela Merkel,20090111191948,1
Angela Merkel,217,1
Angela Merkel,51,2
Angela Merkel,bbc news archive,1
Angela Merkel,20051209014210,1
Angela Merkel,16 19,1
Angela Merkel,bbc news archive url https,1
Angela Merkel,20051125031009,1
Angela Merkel,20060315055446,1
Angela Merkel,4431262,1
Angela Merkel,march 2006,1
Angela Merkel,01,4
Angela Merkel,3 million,1
Angela Merkel,2011,7
Angela Merkel,drei millionen,3
Angela Merkel,2011 million,1
Angela Merkel,566257,2
Angela Merkel,20210531112414,1
Angela Merkel,079,1
Angela Merkel,18th,2
Angela Merkel,december 2013,1
Angela Merkel,september 2013,2
Angela Merkel,1957,1
Angela Merkel,first1 kate date,1
Angela Merkel,26,9
Angela Merkel,20170327081844,1
Angela Merkel,parliament ref cwn ref cite news url https,1
Angela Merkel,uk news world,2
Angela Merkel,8966125,2
Angela Merkel,20171223220011,1
Angela Merkel,17 december 2013,1
Angela Merkel,2013 48311241,2
Angela Merkel,214202,2
Angela Merkel,bundeskabinett vereidigt,1
Angela Merkel,20170702022311,1
Angela Merkel,february 2011,1
Angela Merkel,london,3
Angela Merkel,20110224215222,1
Angela Merkel,august 2011,1
Angela Merkel,36,1
Angela Merkel,11 year,2
Angela Merkel,24 date 5,1
Angela Merkel,20111011051049,1
Angela Merkel,2bangela 2bmerkel,1
Angela Merkel,article tvb0mryv0rf german 2bopposition,1
Angela Merkel,2bhigh 2bpolls,1
Angela Merkel,69,1
Angela Merkel,february 2012 july 2014,1
Angela Merkel,cite news title union,1
Angela Merkel,1784909,2
Angela Merkel,stern magazine,1
Angela Merkel,20120212234414,1
Angela Merkel,54 october 2015,1
Angela Merkel,article 2015,2
Angela Merkel,20210307231318,1
Angela Merkel,bloomberg,7
Angela Merkel,2016,12
Angela Merkel,47,1
Angela Merkel,august 2016,2
Angela Merkel,20190523163553,1
Angela Merkel,585,1
Angela Merkel,half,2
Angela Merkel,42,1
Angela Merkel,tom,1
Angela Merkel,article half,2
Angela Merkel,1472379679,2
