Title,Named-entity,Frequency
Barack Obama,27 1990,3
Barack Obama,7cdn,1
Barack Obama,200 s,6
Barack Obama,1990,8
Barack Obama,0,13
Barack Obama,1 ymd,1
Barack Obama,29 l,1
Barack Obama,20,13
Barack Obama,august september 1988,1
Barack Obama,8 9,2
Barack Obama,peg year 1990,1
Barack Obama,35 40,1
Barack Obama,mid 1988,1
Barack Obama,europe week,1
Barack Obama,kenya,4
Barack Obama,st martin s press,1
Barack Obama,6,10
Barack Obama,299 437 maraniss,1
Barack Obama,564,1
Barack Obama,570,1
Barack Obama,udamvzga4jey06n,2
Barack Obama,derrick,1
Barack Obama,april 24 1990,2
Barack Obama,34,1
Barack Obama,wgbh educational foundation boston tv,1
Barack Obama,clock news derrick bell,1
Barack Obama,wgbh american archive public broadcasting,1
Barack Obama,congress location boston washington d c access,1
Barack Obama,derrick bell,1
Barack Obama,6 25,1
Barack Obama,massachusetts,2
Barack Obama,january february 2014,1
Barack Obama,365 broadway,1
Barack Obama,1988 1991,1
Barack Obama,harvard law school ref,1
Barack Obama,harvard law review,4
Barack Obama,01 28,1
Barack Obama,20070307091848,1
Barack Obama,03 07,1
Barack Obama,80,1
Barack Obama,92,2
Barack Obama,second year,1
Barack Obama,1990b,2
Barack Obama,6 1990,1
Barack Obama,harvard s law review,1
Barack Obama,06,10
Barack Obama,harvard s law,1
Barack Obama,j date february 7 1990,1
Barack Obama,october 29 2011,1
Barack Obama,e1,1
Barack Obama,60017156 60017156,1
Barack Obama,ab fmts ab ft access date,1
Barack Obama,harvard s barack h obama magazine,1
Barack Obama,5,7
Barack Obama,article 11791,1
Barack Obama,april 18 1990,1
Barack Obama,miami,3
Barack Obama,22law,1
Barack Obama,pdf,7
Barack Obama,1 2020,1
Barack Obama,year ref youtube,1
Barack Obama,1989,1
Barack Obama,20080929145015,1
Barack Obama,28774085,2
Barack Obama,28774085 28774085,2
Barack Obama,ab fmts ab ft archive date,1
Barack Obama,ab fmts,7
Barack Obama,ab ft access,2
Barack Obama,1991,3
Barack Obama,chicago ref harvard,1
Barack Obama,first,1
Barack Obama,xvii ref,1
Barack Obama,mid 1995,1
Barack Obama,2008a,2
Barack Obama,chicago law school 1991,1
Barack Obama,1996,5
Barack Obama,1996 2004,2
Barack Obama,obama publisher university chicago law school url,1
Barack Obama,20080608225931,1
Barack Obama,20 year,4
Barack Obama,10 2008 ref,1
Barack Obama,april october 1992,1
Barack Obama,obama direct illinois s project,1
Barack Obama,african americans,1
Barack Obama,crain s chicago,1
Barack Obama,1993,6
Barack Obama,40,3
Barack Obama,davis miner,1
Barack Obama,1994,2
Barack Obama,citibank,4
Barack Obama,94,1
Barack Obama,4094,1
Barack Obama,1 94 cv 04094,1
Barack Obama,nowiki united states,1
Barack Obama,northern district,3
Barack Obama,10112,1
Barack Obama,november 25 2015,2
Barack Obama,settle court ref,1
Barack Obama,eastern division,1
Barack Obama,january 16 1988,1
Barack Obama,pdf title,1
Barack Obama,1994 2002,1
Barack Obama,obama serve board,1
Barack Obama,chicago 1985 foundation,1
Barack Obama,joyce foundation ref s 2008,1
Barack Obama,chicago annenberg,1
Barack Obama,1995 2002,1
Barack Obama,1995 1999,1
Barack Obama,obama s law,2
Barack Obama,2012 06,1
Barack Obama,angelo,1
Barack Obama,obama celebrate,1
Barack Obama,milton davis,1
Barack Obama,illinois senate,2
Barack Obama,democratic,15
Barack Obama,west chicago,1
Barack Obama,april 3 2007,1
Barack Obama,obama chi,2
Barack Obama,070403obama,2
Barack Obama,20081011054057,1
Barack Obama,2c5693903,1
Barack Obama,october 11 2008,1
Barack Obama,link jesse,1
Barack Obama,year 2001,1
Barack Obama,illinois blue,1
Barack Obama,2001 2002,1
Barack Obama,16 2011,3
Barack Obama,20080226221919,1
Barack Obama,illinois capitol,1
Barack Obama,february 9,1
Barack Obama,scott helman,2
Barack Obama,illinois obama,2
Barack Obama,september 23 2007,1
Barack Obama,20080416235513,1
Barack Obama,april 16 2008,3
Barack Obama,obama record gold,1
Barack Obama,january 17 2007,1
Barack Obama,cbs news url,1
Barack Obama,01 17,2
Barack Obama,main2369157,2
Barack Obama,20080412223055,1
Barack Obama,april 12 2008,1
Barack Obama,20081210135903,1
Barack Obama,ryan s payday,1
Barack Obama,65214450,4
Barack Obama,20080617151154,1
Barack Obama,3a65214450 fmt,1
Barack Obama,ab 3aft,3
Barack Obama,april 18 2001,1
Barack Obama,oks predatory,1
Barack Obama,71459393 71459393,2
Barack Obama,20081218011718,1
Barack Obama,ab fmts ab ft url,5
Barack Obama,republican yesse yehudah,1
Barack Obama,2002,7
Barack Obama,obama index html,4
Barack Obama,democrats,12
Barack Obama,20000824102110,1
Barack Obama,20040802233730,1
Barack Obama,2000,1
Barack Obama,1st,4
Barack Obama,bobby rush,1
Barack Obama,january 2003,2
Barack Obama,illinois senate s health human service,1
Barack Obama,democrats decade,1
Barack Obama,jackie calme,1
Barack Obama,february 23,1
Barack Obama,wall street journal,6
Barack Obama,20080918032039,1
Barack Obama,september 18 2008,1
Barack Obama,ref scott20070730 ref cite news,1
Barack Obama,anne marie date,1
Barack Obama,20and,6
Barack Obama,17,9
Barack Obama,june 1 2008,1
Barack Obama,352884461,4
Barack Obama,8,3
Barack Obama,20080617150449,1
Barack Obama,date july 17 2003,1
Barack Obama,370136121,2
Barack Obama,370136121 370136121,2
Barack Obama,20081218011706,1
Barack Obama,u s senate police,1
Barack Obama,sam,1
Barack Obama,obama s crime,1
Barack Obama,11316,1
Barack Obama,november 12 2007,1
Barack Obama,20080607111231,1
Barack Obama,november 2004,3
Barack Obama,u s senate ref cite news,2
Barack Obama,melanie,1
Barack Obama,november 6 2004,1
Barack Obama,20080516174431,1
Barack Obama,16 2008,2
Barack Obama,u s senate,11
Barack Obama,2004 united,1
Barack Obama,david axelrod,2
Barack Obama,august 2002,1
Barack Obama,news helman,1
Barack Obama,april 13 2008,5
Barack Obama,2003,2
Barack Obama,chinta date september,1
Barack Obama,26 2002,1
Barack Obama,war mount,1
Barack Obama,20110511195931,1
Barack Obama,february 3 2008 ref,1
Barack Obama,bush,10
Barack Obama,rally ref,1
Barack Obama,march 2003,1
Barack Obama,15,6
Barack Obama,monica date march 7 2004,1
Barack Obama,2004 03 07,2
Barack Obama,20090416015834,1
Barack Obama,overnight,1
Barack Obama,star democratic national committee,1
Barack Obama,national democratic party,1
Barack Obama,june 2007,2
Barack Obama,chicago magazine,1
Barack Obama,million,3
Barack Obama,jack ryan,1
Barack Obama,jack,1
Barack Obama,june 2004,1
Barack Obama,06 25,1
Barack Obama,271 ref week later,1
Barack Obama,alan keyes,2
Barack Obama,san diego union,1
Barack Obama,0849,1
Barack Obama,20111214115053,1
Barack Obama,14 2011,1
Barack Obama,70 percent,1
Barack Obama,102,1
Barack Obama,obama united states,1
Barack Obama,january 3 2005,1
Barack Obama,1 date october 12 2011,1
Barack Obama,kilpatrick,2
Barack Obama,info html archive url,1
Barack Obama,20080709114659,1
Barack Obama,info html,1
Barack Obama,nunn,1
Barack Obama,january 11,1
Barack Obama,u s senate office,3
Barack Obama,april 27 2008,13
Barack Obama,20081218154746,1
Barack Obama,article 2005,1
Barack Obama,02,8
Barack Obama,weekly,4
Barack Obama,20080423235240,1
Barack Obama,april 23 2008,1
Barack Obama,september 26 2006,1
Barack Obama,802a 23ad,2
Barack Obama,41db,1
Barack Obama,20080501233103,1
Barack Obama,tom coburn,2
Barack Obama,april 27 2008 ref june 3 2008,1
Barack Obama,obama senator,1
Barack Obama,tom carper,1
Barack Obama,110,2
Barack Obama,3077,1
Barack Obama,110th,1
Barack Obama,109th,2
Barack Obama,u s senate title,1
Barack Obama,1033,2
Barack Obama,12 2005,1
Barack Obama,february 25 2017,1
Barack Obama,december 2006,2
Barack Obama,april 2006,1
Barack Obama,20110108193726,1
Barack Obama,8 2011,1
Barack Obama,u s law congo date,1
Barack Obama,20110807061958,1
Barack Obama,january 2007,2
Barack Obama,september 2007,2
Barack Obama,november 15,1
Barack Obama,20080515201902,1
Barack Obama,11 15,1
Barack Obama,20080416162108,1
Barack Obama,12 05 html,1
Barack Obama,2007 date september 24,1
Barack Obama,20070924travel,1
Barack Obama,20080411220016,1
Barack Obama,april 11 2008,1
Barack Obama,obama jpg thumb,1
Barack Obama,obama u s,6
