Title,Named-entity,Frequency
Cristiano Ronaldo,ref united,1
Cristiano Ronaldo,11667 2383344,2
Cristiano Ronaldo,12 july 2006,1
Cristiano Ronaldo,20140903043752,1
Cristiano Ronaldo,world cup altercation,1
Cristiano Ronaldo,2006 07,10
Cristiano Ronaldo,2006 07 season,1
Cristiano Ronaldo,2346496,2
Cristiano Ronaldo,london archive url https,10
Cristiano Ronaldo,20140903151154,1
Cristiano Ronaldo,year,21
Cristiano Ronaldo,10272433,2
Cristiano Ronaldo,rene meulensteen html,2
Cristiano Ronaldo,20140810065928,1
Cristiano Ronaldo,aston villa,1
Cristiano Ronaldo,united league,2
Cristiano Ronaldo,24,21
Cristiano Ronaldo,20140928213718,1
Cristiano Ronaldo,20140903152847,1
Cristiano Ronaldo,31,7
Cristiano Ronaldo,united s advantage,1
Cristiano Ronaldo,20140903152840,1
Cristiano Ronaldo,league player,2
Cristiano Ronaldo,november december,1
Cristiano Ronaldo,monthly,1
Cristiano Ronaldo,6252317,1
Cristiano Ronaldo,20070213190500,1
Cristiano Ronaldo,season quarter,1
Cristiano Ronaldo,30th,1
Cristiano Ronaldo,2244072,1
Cristiano Ronaldo,messi cristiano,12
Cristiano Ronaldo,kevin url,3
Cristiano Ronaldo,11 april 2007,1
Cristiano Ronaldo,20141003093908,1
Cristiano Ronaldo,october 2014,24
Cristiano Ronaldo,milan,12
Cristiano Ronaldo,3 2,7
Cristiano Ronaldo,glendenne barry,1
Cristiano Ronaldo,20140903152912,1
Cristiano Ronaldo,ref mark association football,1
Cristiano Ronaldo,san siro ref,1
Cristiano Ronaldo,20140903152853,1
Cristiano Ronaldo,1,34
Cristiano Ronaldo,20070524094623,1
Cristiano Ronaldo,ref ronaldo,3
Cristiano Ronaldo,wilson paul url https,1
Cristiano Ronaldo,20140903152500,1
Cristiano Ronaldo,season,5
Cristiano Ronaldo,professional footballer association s,1
Cristiano Ronaldo,20140903134221,1
Cristiano Ronaldo,11667 2455317,2
Cristiano Ronaldo,award ronaldo,1
Cristiano Ronaldo,20140903043652,1
Cristiano Ronaldo,6582201,1
Cristiano Ronaldo,20080414212009,1
Cristiano Ronaldo,14 april 2008,1
Cristiano Ronaldo,120,1
Cristiano Ronaldo,000 week year,1
Cristiano Ronaldo,kay oliver,1
Cristiano Ronaldo,14 april 2007,1
Cristiano Ronaldo,16 april 2007,1
Cristiano Ronaldo,ballon d ref invoke,1
Cristiano Ronaldo,kak s year,1
Cristiano Ronaldo,631048,2
Cristiano Ronaldo,20121205144302,1
Cristiano Ronaldo,december 2012,2
Cristiano Ronaldo,kak,1
Cristiano Ronaldo,messi,21
Cristiano Ronaldo,20071218205137,1
Cristiano Ronaldo,3d663385,1
Cristiano Ronaldo,20080115134551,1
Cristiano Ronaldo,united time home,1
Cristiano Ronaldo,kay,1
Cristiano Ronaldo,article3587367,1
Cristiano Ronaldo,20080510154250,1
Cristiano Ronaldo,10 2008 ref,1
Cristiano Ronaldo,33rd,1
Cristiano Ronaldo,new single season,1
Cristiano Ronaldo,daniel title,1
Cristiano Ronaldo,01 championsleague,2
Cristiano Ronaldo,20140101213721,1
Cristiano Ronaldo,7401795,2
Cristiano Ronaldo,14 2008,1
Cristiano Ronaldo,20080518025735,1
Cristiano Ronaldo,18 2008,1
Cristiano Ronaldo,20150104075739,1
Cristiano Ronaldo,january 2015,6
Cristiano Ronaldo,second consecutive season,1
Cristiano Ronaldo,20170815031757,1
Cristiano Ronaldo,quarter,11
Cristiano Ronaldo,2 1,22
Cristiano Ronaldo,2293527,2
Cristiano Ronaldo,utd quarter,2
