Title,Named-entity,Frequency
Lionel Messi,2 1,12
Lionel Messi,8422908,1
Lionel Messi,22 year old,1
Lionel Messi,519 524,2
Lionel Messi,quote messi,1
Lionel Messi,april 2010,1
Lionel Messi,7 april 2010,2
Lionel Messi,07,4
Lionel Messi,27 july 2015,10
Lionel Messi,steve wilson,1
Lionel Messi,14 january 2010,1
Lionel Messi,ref unsatisfie,1
Lionel Messi,messi resume,1
Lionel Messi,early 2010,1
Lionel Messi,476 478 messi,1
Lionel Messi,47,2
Lionel Messi,ronaldo s club,2
Lionel Messi,1996 97,1
Lionel Messi,lowe title la liga title barcelona deserve madrid,1
Lionel Messi,17 2010,1
Lionel Messi,liga title,1
Lionel Messi,6 april,1
Lionel Messi,barcelona s time scorer,1
Lionel Messi,leo messi newspaper,1
Lionel Messi,milan messi,1
Lionel Messi,1490400,1
Lionel Messi,27 july 2010,2
Lionel Messi,ref league s scorer,1
Lionel Messi,34,3
Lionel Messi,la liga trophy,1
Lionel Messi,european golden shoe ref deserve ref,1
Lionel Messi,joseph wilson,2
Lionel Messi,u t san diego,1
Lionel Messi,30 september 2010,1
Lionel Messi,30 messi,1
Lionel Messi,27 july 2015 ref,1
Lionel Messi,liga title champion league messi,1
Lionel Messi,barcelona s trophy,1
Lionel Messi,fc date 21,1
Lionel Messi,816500,1
Lionel Messi,messi win,5
Lionel Messi,november 2010,2
Lionel Messi,david villa,1
Lionel Messi,february 2011,2
Lionel Messi,messi star,2
Lionel Messi,6 february 2011,1
Lionel Messi,europe 9388847,1
Lionel Messi,2010 2010,1
Lionel Messi,ballon d amalgamation,1
Lionel Messi,ref bestplayer cite news,1
Lionel Messi,messi world s,1
Lionel Messi,2011 jan,1
Lionel Messi,messi xavi,1
Lionel Messi,ref bestplayer,1
Lionel Messi,18 day,1
Lionel Messi,16 april end,1
Lionel Messi,1717,2
Lionel Messi,2011 04,1
Lionel Messi,5 2011,1
Lionel Messi,cnn,11
Lionel Messi,20110508163612,1
Lionel Messi,494,1
Lionel Messi,consecutive year 12,1
Lionel Messi,3 1,5
Lionel Messi,scorer messi matches van nistelrooy,1
Lionel Messi,28 2011,2
Lionel Messi,1634951,1
Lionel Messi,messi league s,1
Lionel Messi,season 2010,1
Lionel Messi,season 53,1
Lionel Messi,11 ref,1
Lionel Messi,messi great,2
Lionel Messi,uk tto sport football europe,1
Lionel Messi,2 2011,1
Lionel Messi,jpg thumb messi centre,1
